date,team_1,t1_conf,team_2,t1_score,t2_score,win_loss
3/20/21,Abilene Christian,Slnd,Texas,53,52,W
3/20/21,Texas,B12,Abilene Christian,52,53,L
3/22/21,Abilene Christian,Slnd,UCLA,47,67,L
3/22/21,UCLA,P12,Abilene Christian,67,47,W
3/18/21,Appalachian St.,SB,Norfolk St.,53,54,L
3/18/21,Norfolk St.,MEAC,Appalachian St.,54,53,W
3/29/21,Arkansas,SEC,Baylor,72,81,L
3/29/21,Baylor,B12,Arkansas,81,72,W
4/5/21,Baylor,B12,Gonzaga,86,70,W
4/5/21,Gonzaga,WCC,Baylor,70,86,L
3/22/21,Army,Pat,Bellarmine,67,77,L
3/22/21,Bellarmine,ASun,Army,77,67,W
3/25/21,Boise St.,MWC,Memphis,56,59,L
3/25/21,Memphis,Amer,Boise St.,59,56,W
3/19/21,Buffalo,MAC,Colorado St.,73,75,L
3/19/21,Colorado St.,MWC,Buffalo,75,73,W
3/19/21,Cleveland St.,Horz,Houston,56,87,L
3/19/21,Houston,Amer,Cleveland St.,87,56,W
3/22/21,Bryant,NEC,Coastal Carolina,82,93,L
3/22/21,Coastal Carolina,SB,Bryant,93,82,W
3/24/21,Coastal Carolina,SB,Pepperdine,61,84,L
3/24/21,Pepperdine,WCC,Coastal Carolina,84,61,W
3/19/21,Arkansas,SEC,Colgate,85,68,W
3/19/21,Colgate,Pat,Arkansas,68,85,L
3/22/21,Colorado,P12,Florida St.,53,71,L
3/22/21,Florida St.,ACC,Colorado,71,53,W
3/28/21,Creighton,BE,Gonzaga,65,83,L
3/28/21,Gonzaga,WCC,Creighton,83,65,W
3/20/21,Dayton,A10,Memphis,60,71,L
3/20/21,Memphis,Amer,Dayton,71,60,W
3/20/21,Drake,MVC,USC,56,72,L
3/20/21,USC,P12,Drake,72,56,W
3/18/21,Drake,MVC,Wichita St.,53,52,W
3/18/21,Wichita St.,Amer,Drake,52,53,L
3/19/21,Drexel,CAA,Illinois,49,78,L
3/19/21,Illinois,B10,Drexel,78,49,W
3/20/21,Eastern Washington,BSky,Kansas,84,93,L
3/20/21,Kansas,B12,Eastern Washington,93,84,W
3/28/21,Florida St.,ACC,Michigan,58,76,L
3/28/21,Michigan,B10,Florida St.,76,58,W
3/20/21,Colorado,P12,Georgetown,96,73,W
3/20/21,Georgetown,BE,Colorado,73,96,L
3/19/21,Georgia Tech,ACC,Loyola Chicago,60,71,L
3/19/21,Loyola Chicago,MVC,Georgia Tech,71,60,W
3/20/21,Grand Canyon,WAC,Iowa,74,86,L
3/20/21,Iowa,B10,Grand Canyon,86,74,W
3/19/21,Baylor,B12,Hartford,79,55,W
3/19/21,Hartford,AE,Baylor,55,79,L
4/3/21,Baylor,B12,Houston,78,59,W
4/3/21,Houston,Amer,Baylor,59,78,L
3/20/21,Alabama,SEC,Iona,68,55,W
3/20/21,Iona,MAAC,Alabama,55,68,L
3/19/21,Liberty,ASun,Oklahoma St.,60,69,L
3/19/21,Oklahoma St.,B12,Liberty,69,60,W
3/22/21,Longwood,BSth,Pepperdine,66,80,L
3/22/21,Pepperdine,WCC,Longwood,80,66,W
3/28/21,Colorado St.,MWC,Louisiana Tech,74,76,L
3/28/21,Louisiana Tech,CUSA,Colorado St.,76,74,W
3/19/21,Louisiana Tech,CUSA,Mississippi,70,61,W
3/19/21,Mississippi,SEC,Louisiana Tech,61,70,L
3/25/21,Louisiana Tech,CUSA,Western Kentucky,72,65,W
3/25/21,Western Kentucky,CUSA,Louisiana Tech,65,72,L
3/21/21,Illinois,B10,Loyola Chicago,58,71,L
3/21/21,Loyola Chicago,MVC,Illinois,71,58,W
3/22/21,LSU,SEC,Michigan,78,86,L
3/22/21,Michigan,B10,LSU,86,78,W
3/22/21,Alabama,SEC,Maryland,96,77,W
3/22/21,Maryland,B10,Alabama,77,96,L
3/20/21,Connecticut,BE,Maryland,54,63,L
